Invalid Date | INFO | ********************************************** START TEST **************************************************************
Invalid Date | INFO | *************** Login ***************
Invalid Date | INFO | *************** Shoud be correct user after login ***************
Invalid Date | INFO | ********************************************** START TEST **************************************************************
Invalid Date | INFO | *************** Repository ***************
Invalid Date | INFO | *************** Should verify if a repository was created ***************
Invalid Date | INFO | ********************************************** START TEST **************************************************************
Invalid Date | INFO | *************** Repository ***************
Invalid Date | INFO | *************** Should rename repository and verify that it was renamed ***************
Invalid Date | INFO | ********************************************** START TEST **************************************************************
Invalid Date | INFO | *************** Repository ***************
Invalid Date | INFO | *************** Should delete repository and verify that it was deleted ***************
2/28/2023, 5:08:17 PM | INFO | ********************************************** START TEST **************************************************************
2/28/2023, 5:08:17 PM | INFO | *************** Login ***************
2/28/2023, 5:08:17 PM | INFO | *************** Shoud be correct user after login ***************
2/28/2023, 5:08:19 PM | INFO | ********************************************** START TEST **************************************************************
2/28/2023, 5:08:19 PM | INFO | *************** Repository ***************
2/28/2023, 5:08:19 PM | INFO | *************** Should verify if a repository was created ***************
2/28/2023, 5:08:22 PM | INFO | ********************************************** START TEST **************************************************************
2/28/2023, 5:08:22 PM | INFO | *************** Repository ***************
2/28/2023, 5:08:22 PM | INFO | *************** Should rename repository and verify that it was renamed ***************
2/28/2023, 5:08:25 PM | INFO | ********************************************** START TEST **************************************************************
2/28/2023, 5:08:25 PM | INFO | *************** Repository ***************
2/28/2023, 5:08:25 PM | INFO | *************** Should delete repository and verify that it was deleted ***************
2/28/2023, 5:17:07 PM | INFO | ********************************************** START TEST **************************************************************
2/28/2023, 5:17:07 PM | INFO | *************** Login ***************
2/28/2023, 5:17:07 PM | INFO | *************** Shoud be correct user after login ***************
2/28/2023, 5:17:07 PM | INFO | ******************** Test finished with status: PASSED ************************************
2/28/2023, 5:17:09 PM | INFO | ********************************************** START TEST **************************************************************
2/28/2023, 5:17:09 PM | INFO | *************** Repository ***************
2/28/2023, 5:17:09 PM | INFO | *************** Should verify if a repository was created ***************
2/28/2023, 5:17:12 PM | INFO | ******************** Test finished with status: PASSED ************************************
2/28/2023, 5:17:12 PM | INFO | ********************************************** START TEST **************************************************************
2/28/2023, 5:17:12 PM | INFO | *************** Repository ***************
2/28/2023, 5:17:12 PM | INFO | *************** Should rename repository and verify that it was renamed ***************
2/28/2023, 5:17:15 PM | INFO | ******************** Test finished with status: PASSED ************************************
2/28/2023, 5:17:15 PM | INFO | ********************************************** START TEST **************************************************************
